"Geography","2016","2017","2018","2019","2020"
"Division No. 9, Saskatchewan","36,578","36,579","36,424","36,303","36,021"
"Division No. 10, Saskatchewan","16,908","16,775","16,624","16,495","16,400"
"Division No. 11, Saskatchewan","316,013","323,914","330,978","338,055","343,953"
"Division No. 12, Saskatchewan","24,624","24,664","24,598","24,522","24,400"
"Division No. 13, Saskatchewan","23,817","23,680","23,402","23,257","23,080"
"Division No. 14, Saskatchewan","36,985","36,916","36,664","36,422","36,275"
"Division No. 15, Saskatchewan","88,540","89,224","89,390","89,808","90,114"
"Division No. 16, Saskatchewan","39,042","38,885","38,708","38,431","38,224"
"Division No. 17, Saskatchewan","49,481","49,558","49,638","50,040","50,183"
"Division No. 18, Saskatchewan","38,723","38,841","39,102","39,234","39,338"
"Division No. 1, Alberta","84,598","84,831","85,201","85,384","85,621"
"Division No. 2, Alberta","174,729","176,149","178,434","180,819","182,855"
"Division No. 3, Alberta","39,891","40,022","40,028","39,942","39,957"
"Division No. 4, Alberta","9,749","9,722","9,686","9,539","9,435"
"Division No. 5, Alberta","57,047","57,169","57,378","57,511","57,739"
"Division No. 6, Alberta","1,547,138","1,567,822","1,593,174","1,624,524","1,654,503"
"Division No. 7, Alberta","42,510","42,164","41,861","41,664","41,502"
"Division No. 8, Alberta","215,353","216,775","219,107","220,898","222,327"
"Division No. 9, Alberta","21,375","21,270","21,166","21,048","20,994"
"Division No. 10, Alberta","99,670","99,349","99,371","99,378","99,404"
"Division No. 11, Alberta","1,410,240","1,434,998","1,459,678","1,486,741","1,512,524"
"Division No. 12, Alberta","72,696","72,298","71,947","71,709","71,562"
"Division No. 13, Alberta","72,610","71,803","71,578","70,913","70,306"
"Division No. 14, Alberta","30,011","29,906","29,743","29,827","29,841"
"Division No. 15, Alberta","40,422","40,758","40,782","40,472","40,106"
"Division No. 16, Alberta","75,968","74,131","75,019","75,931","76,715"
"Division No. 17, Alberta","63,259","63,284","63,215","63,343","63,639"
"Division No. 18, Alberta","14,794","14,627","14,680","14,718","14,779"
"Division No. 19, Alberta","124,001","124,022","126,227","127,333","128,067"
"East Kootenay, British Columbia","62,775","63,280","64,142","65,120","65,782"
"Central Kootenay, British Columbia","61,753","62,324","62,992","63,449","63,911"
"Kootenay Boundary, British Columbia","32,591","32,839","33,184","33,354","33,430"
"Okanagan-Similkameen, British Columbia","85,829","86,943","88,443","89,344","90,057"
"Fraser Valley, British Columbia","309,442","316,680","324,988","331,434","335,229"
"Greater Vancouver, British Columbia","2,582,207","2,616,913","2,658,594","2,706,792","2,737,681"
"Capital, British Columbia","400,562","406,681","413,016","419,852","425,503"
"Cowichan Valley, British Columbia","86,849","88,333","89,475","90,202","90,776"
"Nanaimo, British Columbia","161,435","164,533","167,356","169,980","171,990"
"Alberni-Clayoquot, British Columbia","32,287","32,579","32,978","33,466","33,885"
"Strathcona, British Columbia","46,448","47,266","48,164","48,735","49,308"
"Comox Valley, British Columbia","68,935","70,267","71,526","72,686","73,664"
"Powell River, British Columbia","20,729","20,859","21,006","21,107","21,224"
"Sunshine Coast, British Columbia","30,952","31,268","31,551","31,681","31,723"
"Squamish-Lillooet, British Columbia","45,530","46,672","47,227","47,266","47,363"
"Thompson-Nicola, British Columbia","138,136","140,629","144,220","146,078","147,432"
"Central Okanagan, British Columbia","203,998","208,476","213,831","218,454","222,748"
"North Okanagan, British Columbia","87,523","88,745","89,813","90,902","92,184"
"Columbia-Shuswap, British Columbia","53,426","54,406","55,270","56,080","56,899"
"Cariboo, British Columbia","64,293","64,710","65,146","65,352","65,575"
"Mount Waddington, British Columbia","11,432","11,507","11,611","11,703","11,770"
"Central Coast, British Columbia","3,464","3,485","3,548","3,556","3,565"
"Skeena-Queen Charlotte, British Columbia","19,001","19,117","19,218","19,263","19,414"
"Kitimat-Stikine, British Columbia","38,959","38,925","39,085","39,480","39,921"
"Bulkley-Nechako, British Columbia","39,474","39,458","39,496","39,582","39,713"
"Fraser-Fort George, British Columbia","98,862","100,203","101,957","103,133","103,975"
"Peace River, British Columbia","65,950","66,195","66,747","67,114","67,284"
"Stikine, British Columbia","767","731","736","712","710"
"Northern Rockies, British Columbia","5,641","5,360","5,156","5,078","4,996"
"Yukon, Yukon","38,547","39,669","40,613","41,477","42,052"
"Region 1, Northwest Territories","6,778","6,739","6,736","6,673","6,662"
"Region 2, Northwest Territories","2,586","2,544","2,518","2,525","2,536"
"Region 3, Northwest Territories","2,925","2,919","2,901","2,775","2,714"
"Region 4, Northwest Territories","3,381","3,376","3,345","3,334","3,325"
"Region 5, Northwest Territories","7,402","7,356","7,230","7,126","7,048"
"Region 6, Northwest Territories","21,577","21,957","22,251","22,595","22,876"
"Baffin, Nunavut","19,553","19,834","20,177","20,404","20,822"
"Keewatin, Nunavut","10,697","10,907","11,090","11,232","11,388"
"Kitikmeot, Nunavut","6,725","6,805","6,876","6,978","7,143"
